folder_path,reason,file_count,video_count,title,year
/Volumes/Extreme SSD/Movies/8 Mile/extrafanart,no_videos,5,0,extrafanart,
/Volumes/Extreme SSD/Movies/8 Mile/extrathumbs,no_videos,4,0,extrathumbs,
/Volumes/Extreme SSD/Movies/50 First Dates/extrafanart,no_videos,5,0,extrafanart,
/Volumes/Extreme SSD/Movies/50 First Dates/extrathumbs,no_videos,4,0,extrathumbs,
/Volumes/Extreme SSD/Movies/500 Days of Summer [2009] dvd rip nlx/extrafanart,no_videos,6,0,extrafanart,
/Volumes/Extreme SSD/Movies/500 Days of Summer [2009] dvd rip nlx/extrathumbs,no_videos,4,0,extrathumbs,
/Volumes/Extreme SSD/Movies/A Bronx Tale/extrafanart,no_videos,5,0,extrafanart,
/Volumes/Extreme SSD/Movies/A Bronx Tale/extrathumbs,no_videos,4,0,extrathumbs,
/Volumes/Extreme SSD/Movies/Chronicle.2012.DVDRip.XviD-SPARKS/Subs,no_videos,2,0,Subs,
/Volumes/Extreme SSD/Movies/Diva 1981 PAL XviD FRE multi-sub proper audio OST/Diva 1981 OST MP3 256 Kbps,no_videos,15,0,Diva 1981 OST MP3 256 Kbps,
/Volumes/Extreme SSD/Movies/Diva 1981 PAL XviD FRE multi-sub proper audio OST/Subs,no_videos,4,0,Subs,
/Volumes/Extreme SSD/Movies/Le Passe/Screens,no_videos,11,0,Screens,
/Volumes/Extreme SSD/Movies/Like Father Like Son 2013 720p BRRip x264 AAC-JYK/subs,no_videos,2,0,subs,
/Volumes/Extreme SSD/Movies/Margin Call[2011]BRRip XviD-ExtraTorrentRG/SubFiles,no_videos,2,0,SubFiles,
/Volumes/Extreme SSD/Movies/Martha Marcy May Marlene 2011 LIMITED BDRip XviD/Subs,no_videos,1,0,Subs,
/Volumes/Extreme SSD/Movies/Martha Marcy May Marlene 2011 LIMITED BDRip XviD/Thanks,no_videos,6,0,Thanks,
/Volumes/Extreme SSD/Movies/Million.Dollar.Baby.2004.1080p.BluRay.H264.AAC-RARBG/Subs,no_videos,2,0,Subs,
/Volumes/Extreme SSD/Movies/North By Northwest [1959] 720p BRRip x264 - KickASS (MicroStar RG)/Subtitles,no_videos,2,0,Subtitles,
/Volumes/Extreme SSD/Movies/Out of Sight 1998 720p - BRRip -MRShanku Silver RG/Subs,no_videos,3,0,Subs,
/Volumes/Extreme SSD/Movies/Sliver/Subs,no_videos,3,0,Subs,
/Volumes/Extreme SSD/Movies/The Girl Next Door/American Beauty (1999),no_videos,3,0,American Beauty,1999
"/Volumes/Extreme SSD/Movies/The Hunger Games 2012 BRRip 450MB x264 AAC - VYTO [P2PDL]/Cover, Screens & Sample",no_videos,6,0,"Cover, Screens & Sample",
/Volumes/Extreme SSD/Movies/The Witch 2015 1080p BluRay x264 DTS-JYK/Subs,no_videos,3,0,Subs,
/Volumes/Extreme SSD/Movies/101 Dalmatians II - Patch's London Adventure/extrafanart,no_videos,5,0,extrafanart,
/Volumes/Extreme SSD/Movies/101 Dalmatians II - Patch's London Adventure/extrathumbs,no_videos,4,0,extrathumbs,
/Volumes/Extreme SSD/Movies/A Bug's Life/extrafanart,no_videos,2,0,extrafanart,
/Volumes/Extreme SSD/Movies/MISSION IMPOSSIBLE/Mission.Impossible.Rogue.Nation.2015.1080p.BluRay.x264.DTS-JYK/Subs,no_videos,1,0,Subs,
/Volumes/Extreme SSD/Movies/Over the Hedge/Subs,no_videos,2,0,Subs,
/Volumes/Extreme SSD/Movies/Sleeping.Beauty.1959.1080p.BluRay.H264.AAC-RARBG/Subs,no_videos,1,0,Subs,
/Volumes/Extreme SSD/Movies/Levitated.Mass.2013.LIMITED.DVDRip.x264-RedBlade[et]/Proof,no_videos,2,0,Proof,
/Volumes/Extreme SSD/Movies/Levitated.Mass.2013.LIMITED.DVDRip.x264-RedBlade[et]/Subs,no_videos,2,0,Subs,
/Volumes/Extreme SSD/Movies/Natural.Resistance.2014.DVDRip.x264-RedBlade[hotpena]/Proof,no_videos,1,0,Proof,
/Volumes/Extreme SSD/Movies/Natural.Resistance.2014.DVDRip.x264-RedBlade[hotpena]/Subs,no_videos,2,0,Subs,
